,ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.flags,tcp.analysis.ack_rtt,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
92,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,8.0,24.0,0.0,1.0,0.0,58.371005000000004,0.0,0.004875,0.0,benign
93,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,8.0,16.0,0.001954,0.0,0.0,58.372958999999994,0.001954,0.006829000000000001,0.001954,benign
94,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,8.0,24.0,0.0,0.0,0.0,58.381742,0.008783,0.015612000000000001,0.008783,benign
95,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,8.0,16.0,0.0019510000000000003,0.0,0.0,58.38369300000001,0.0019510000000000003,0.017563,0.0019510000000000003,benign
96,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,8.0,17.0,0.0,0.0,0.0,58.389551000000004,0.0058579999999999995,0.023421,0.0058579999999999995,benign
97,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,8.0,17.0,0.001968,0.0,0.0,58.391518999999995,0.001968,0.025389,0.001968,benign
98,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,8.0,16.0,0.001935,0.0,0.0,58.393454000000006,0.001935,0.027324,0.001935,benign
99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.551469,3.1580150000000002,0.0,0.0,benign
100,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,63.395421999999996,1.843953,0.0,0.0,benign
101,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,9.0,18.0,0.000976,0.0,0.0,63.396398,0.000976,0.000976,0.000976,benign
102,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,9.0,16.0,0.0019879999999999997,0.0,0.0,63.398386,0.0019879999999999997,0.002964,0.0019879999999999997,benign
